"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK"
"No","01-APR-24","30-MAR-24","09:45:00Z","CHARLOTTE","NORTH CAROLINA","UNITED STATES","AIRCRAFT STRUCK A BIRD AND POST FLIGHT INSPECTION REVEALED DAMAGE TO THE RADOME, CHARLOTTE, NC.","INCIDENT","CHARLOTTE FSDO","N537UW","AAL2777","AMERICAN AIRLINES","AIRBUS","A321","No","MINOR","COMMERCIAL","EN ROUTE (ENR)","121","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","01-APR-24","30-MAR-24","05:50:00Z","COVINGTON","KENTUCKY","UNITED STATES","AIRCRAFT STRUCK A BIRD ON LANDING DAMAGING THE RADOME, COVINGTON, KY.","INCIDENT","CINCINNATI FSDO","N318FL","KII107","KALITTA AIR","BOEING","737","No","UNKNOWN","CARGO","LANDING (LDG)","121","NONE","No","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yes","01-APR-24","30-MAR-24","02:07:00Z","CEDAR RAPDS","IOWA","UNITED STATES","AIRCRAFT STRUCK A BIRD DAMAGING THE NOSE, CEDAR RAPIDS, IA.","INCIDENT","DES MOINES FSDO","N325FL","KII833","KALITTA AIR","BOEING","737","No","MINOR","CARGO","EN ROUTE (ENR)","121","NONE","No","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","01-APR-24","30-MAR-24","17:35:00Z","HUNTSVILLE","ALABAMA","UNITED STATES","AIRCRAFT LANDED AND GEAR COLLAPSED, HUNTSVILLE, AL.","INCIDENT","ALABAMA AND NW FLORIDA FSDO","N222MA","","","LANCAIR","LANCAIR IV","No","MINOR","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","01-APR-24","29-MAR-24","16:27:00Z","JASPER","GEORGIA","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES, MADE AN EMERGENCY LANDING IN A FIELD AND THE WING STRUCK A LIGHT POLE, JASPER, GA.","ACCIDENT","ATLANTA FSDO","N387E","","","VANS","RV9","No","SUBSTANTIAL","PERSONAL","EN ROUTE (ENR)","91","MINOR","No","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","28-MAR-24","27-MAR-24","21:15:00Z","ROSWELL","NEW MEXICO","UNITED STATES","AIRCRAFT DEPARTED, THE PASSENGER DOOR CAME OFF AND RETURNED TO LAND, ROSWELL, NM.","INCIDENT","LUBBOCK FSDO","N66WW","","","VELOCITY","173RG ELITE","No","UNKNOWN","PERSONAL","TAKEOFF (TOF)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","28-MAR-24","28-MAR-24","00:13:00Z","TAMPA","FLORIDA","UNITED STATES","AIRCRAFT ENCOUNTERED SEVERE TURBULENCE INJURYING A FLIGHT ATTENDANT, TAMPA, FL.","ACCIDENT","TAMPA FSDO","N6705Y","DAL1253","DELTA AIRLINES","BOEING","757","No","NONE","COMMERCIAL","EN ROUTE (ENR)","121","SERIOUS","No","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"No","28-MAR-24","28-MAR-24","02:07:00Z","CHARLOTTE","NORTH CAROLINA","UNITED STATES","AIRCRAFT WAS BOARDING AT THE GATE, PILOT SMELLED SMOKE IN THE CABIN, PASSENGERS DEPLANED VIA JET BRIDGE AND THE REAR SLIDES WERE DEPLOYED, CHARLOTTE, NC.","INCIDENT","CHARLOTTE FSDO","FFT1759","FFT1759","FRONTIER AIRLINES","AIRBUS","A321","No","UNKNOWN","COMMERCIAL","STANDING (STD)","121","MINOR","No","2","0","0","0","0","4","0","0","0","0","204","9","0","0","0","0","0","0","0","0"
"No","29-MAR-24","28-MAR-24","20:40:00Z","PHOENIX","ARIZONA","UNITED STATES","AIRCRAFT GROUND LOOPED ON LANDING, PHOENIX, AZ.","ACCIDENT","SCOTTSDALE FSDO","N458RS","","","AMERICAN LEGEND","AL18","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","01-APR-24","29-MAR-24","23:00:00Z","DALLAS","TEXAS","UNITED STATES","AIRCRAFT TAXIING AND STRUCK A LIGHT, DALLAS, TX.","INCIDENT","NORTH TEXAS FSDO","N500LR","WWI50","WORLDWIDE JET CHARTER","CANADAIR","CL-600-2B16","No","NONE","ON DEMAND","TAXI (TXI)","135","NONE","No","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
